listing_id,date
62817,2014-12-28
62817,2015-05-15
62817,2016-05-16
62817,2016-12-04
62817,2017-10-04
62817,2017-11-02
62817,2018-04-15
62817,2018-04-18
62817,2018-04-18
62817,2018-04-25
62817,2018-05-23
62817,2018-06-12
62817,2018-06-12
62817,2018-06-15
62817,2018-07-20
62817,2018-08-07
62817,2018-08-22
77190,2011-07-11
77190,2012-08-29
77190,2012-09-24
77190,2012-11-20
77190,2012-12-17
77190,2013-04-08
77190,2013-04-27
77190,2013-05-21
77190,2013-05-30
77190,2013-07-10
77190,2013-07-21
77190,2013-07-30
77190,2014-04-09
77190,2014-04-28
77190,2014-05-16
77190,2014-05-25
77190,2014-05-28
77190,2014-05-28
77190,2014-05-28
77190,2014-06-02
77190,2014-08-14
77190,2014-09-26
77190,2015-01-05
77190,2015-07-28
77190,2015-08-10
77190,2015-09-15
77190,2015-09-15
77190,2015-09-15
77190,2016-09-29
77190,2016-10-02
77190,2017-08-12
77190,2018-08-13
77190,2018-08-16
85717,2011-04-22
85717,2011-04-28
85717,2011-05-11
85717,2011-05-17
85717,2011-06-03
85717,2011-06-08
85717,2011-06-13
85717,2011-07-03
85717,2011-07-14
85717,2011-08-14
85717,2011-08-18
85717,2011-09-19
85717,2011-10-14
85717,2011-10-18
85717,2011-10-28
85717,2012-04-29
85717,2012-05-06
85717,2012-06-05
85717,2012-06-13
85717,2012-06-26
85717,2012-07-04
85717,2012-07-12
85717,2012-07-19
85717,2012-07-24
85717,2012-07-31
85717,2012-08-10
85717,2012-08-31
85717,2012-09-21
85717,2012-09-24
85717,2012-12-21
85717,2013-01-05
85717,2013-03-08
85717,2013-03-19
85717,2013-03-26
85717,2013-04-27
85717,2013-05-02
85717,2013-05-09
85717,2013-05-12
85717,2013-05-15
85717,2013-05-20
85717,2013-05-29
85717,2013-06-06
85717,2013-06-11
85717,2013-06-26
85717,2013-09-16
85717,2013-09-25
85717,2013-10-01
85717,2013-11-01
85717,2013-11-05
85717,2013-11-11
85717,2014-01-02
85717,2014-01-17
85717,2014-03-25
85717,2014-04-02
85717,2014-04-13
85717,2014-04-24
85717,2014-05-07
85717,2014-06-03
85717,2014-06-09
85717,2014-06-15
85717,2014-07-08
85717,2014-07-13
85717,2014-07-17
85717,2014-08-01
85717,2014-08-07
85717,2014-09-11
85717,2014-09-18
85717,2014-09-23
85717,2014-09-29
85717,2014-10-05
85717,2014-10-09
85717,2014-10-18
85717,2014-10-25
85717,2014-11-05
87557,2013-01-04
87557,2013-04-03
87557,2013-05-07
87557,2015-05-05
87557,2015-10-12
87557,2015-10-13
87557,2015-12-12
87557,2016-01-30
87557,2016-02-15
87557,2016-05-21
87557,2016-10-17
87557,2016-11-06
87557,2017-09-06
87557,2017-11-10
87557,2017-11-16
87557,2018-03-26
87557,2018-10-19
88949,2011-05-17
88949,2011-06-28
88949,2011-07-15
88949,2011-07-26
88949,2011-08-21
88949,2011-08-31
88949,2011-09-11
88949,2011-09-23
88949,2011-09-29
88949,2011-10-04
88949,2011-10-18
88949,2011-10-30
88949,2011-11-13
88949,2011-11-21
88949,2011-12-28
88949,2012-01-11
88949,2012-03-10
88949,2012-04-01
88949,2012-04-15
88949,2012-04-26
88949,2012-05-01
88949,2012-05-06
88949,2012-05-12
88949,2012-05-16
88949,2012-05-25
88949,2012-05-29
88949,2012-06-01
88949,2012-06-08
88949,2012-06-11
88949,2012-06-18
88949,2012-07-18
88949,2012-08-10
88949,2012-08-14
88949,2012-08-26
88949,2012-08-29
88949,2012-09-25
88949,2012-10-10
88949,2012-11-04
88949,2012-11-27
88949,2013-01-03
88949,2013-01-08
88949,2013-02-27
88949,2013-04-01
88949,2013-04-22
88949,2013-05-02
88949,2013-05-07
88949,2013-05-14
88949,2013-05-31
88949,2013-06-08
88949,2013-06-21
88949,2013-07-07
88949,2013-07-13
88949,2013-08-08
88949,2013-09-06
88949,2013-09-11
88949,2013-10-05
88949,2013-10-13
88949,2013-10-22
88949,2014-01-04
88949,2014-03-31
88949,2014-04-07
88949,2014-04-17
88949,2014-04-23
88949,2014-05-05
88949,2014-05-14
88949,2014-06-03
88949,2014-09-06
88949,2014-09-12
88949,2014-09-21
88949,2014-10-05
88949,2014-11-10
88949,2015-01-02
88949,2015-04-06
88949,2015-04-15
88949,2015-05-04
88949,2015-05-16
88949,2015-05-24
88949,2015-06-03
88949,2015-06-20
88949,2015-07-17
88949,2015-09-01
88949,2016-01-25
88949,2016-06-16
88949,2019-06-15
101397,2011-08-01
101397,2011-10-18
101397,2013-04-07
101397,2013-05-05
101397,2013-05-10
101397,2013-05-17
101397,2013-05-22
101397,2013-09-14
101397,2013-11-09
101397,2014-01-04
101397,2014-04-02
101397,2014-04-29
101397,2014-05-25
101397,2014-10-07
101397,2014-11-11
101397,2014-12-31
101397,2015-06-10
101397,2015-08-09
101397,2015-10-19
101397,2015-10-29
101397,2015-11-16
101397,2015-11-25
101397,2016-01-02
101397,2016-01-06
101397,2016-02-02
101397,2016-02-28
101397,2016-03-10
101397,2016-05-08
101397,2017-01-01
101397,2017-03-19
101397,2017-04-11
101397,2017-08-21
101397,2017-08-25
101397,2017-09-15
101397,2017-09-17
101397,2017-10-03
101397,2017-10-15
101397,2017-10-25
101397,2017-11-25
101397,2018-01-01
101397,2018-04-10
101397,2018-04-17
101397,2018-05-14
101397,2018-06-01
101397,2018-07-08
101397,2018-08-05
101397,2018-08-25
101397,2018-09-03
101397,2018-10-28
101397,2018-11-10
101397,2018-12-24
101397,2018-12-30
101397,2019-01-03
101397,2019-02-08
101397,2019-02-23
101397,2019-04-14
101397,2019-04-23
101397,2019-05-01
101397,2019-05-05
101397,2019-05-14
101397,2019-05-28
101397,2019-06-18
101397,2019-06-28
108038,2012-07-25
108537,2017-11-19
108537,2018-04-02
108537,2018-04-11
114786,2012-02-27
114786,2012-12-11
114786,2013-07-10
114786,2013-09-06
114786,2013-09-25
114786,2013-09-30
114786,2013-10-14
114786,2013-10-29
114786,2013-11-18
114786,2013-12-01
114786,2014-04-30
114786,2014-10-21
114786,2014-11-02
114786,2014-12-03
114786,2014-12-26
114786,2014-12-29
114786,2015-03-30
114786,2015-04-18
114786,2015-04-24
114786,2015-05-05
114786,2015-05-26
114786,2015-06-22
114786,2015-06-30
114786,2015-08-14
114786,2015-08-28
114786,2015-09-17
114786,2015-09-23
114786,2015-10-07
114786,2015-10-24
114786,2016-03-31
114786,2016-05-13
114786,2016-06-13
114786,2016-06-23
114786,2016-09-02
